date,T (degC)
1/1/20 13:20,3.09
1/1/20 13:30,3.86
1/1/20 13:40,3.84
1/1/20 13:50,4.03
1/1/20 14:00,3.7
1/1/20 14:10,3.45
1/1/20 14:20,3.64
1/1/20 14:30,3.89
1/1/20 14:40,3.87
1/1/20 14:50,4.32
1/1/20 15:00,4.58
1/1/20 15:10,4.2
1/1/20 15:20,4.07
1/1/20 15:30,4.44
1/1/20 15:40,4.5
1/1/20 15:50,4.34
1/1/20 16:00,3.74
1/1/20 16:10,3.23
1/1/20 16:20,2.99
1/1/20 16:30,2.89
1/1/20 16:40,2.77
1/1/20 16:50,2.6
1/1/20 17:00,2.09
1/1/20 17:10,1.63
1/1/20 17:20,1.26
1/1/20 17:30,1.03
1/1/20 17:40,0.99
1/1/20 17:50,0.85
1/1/20 18:00,0.63
1/1/20 18:10,0.35
1/1/20 18:20,0.05
1/1/20 18:30,-0.08
1/1/20 18:40,-0.21
1/1/20 18:50,-0.62
1/1/20 19:00,-1.32
1/1/20 19:10,-1.42
1/1/20 19:20,-1.31
1/1/20 19:30,-1.33
1/1/20 19:40,-1.38
1/1/20 19:50,-1.36
1/1/20 20:00,-1.48
1/1/20 20:10,-1.86
1/1/20 20:20,-2.15
1/1/20 20:30,-2.18
1/1/20 20:40,-2.24
1/1/20 20:50,-2.57
1/1/20 21:00,-2.78
1/1/20 21:10,-2.85
1/1/20 21:20,-2.95
1/1/20 21:30,-3.21
1/1/20 21:40,-3.06
1/1/20 21:50,-3
1/1/20 22:00,-3.21
1/1/20 22:10,-3.27
1/1/20 22:20,-3.31
1/1/20 22:30,-3.39
1/1/20 22:40,-3.35
1/1/20 22:50,-3.29
1/1/20 23:00,-3.19
1/1/20 23:10,-3.2
1/1/20 23:20,-3.32
1/1/20 23:30,-3.09
1/1/20 23:40,-2.96
1/1/20 23:50,-3.46
1/2/20 0:00,-3.39
1/2/20 0:10,-3.47
1/2/20 0:20,-3.94
1/2/20 0:30,-3.91
1/2/20 0:40,-3.86
1/2/20 0:50,-3.88
1/2/20 1:00,-4.23
1/2/20 1:10,-4.42
1/2/20 1:20,-4.42
1/2/20 1:30,-4.5
1/2/20 1:40,-4.31
1/2/20 1:50,-4.25
1/2/20 2:00,-4.2
1/2/20 2:10,-3.98
1/2/20 2:20,-4.07
1/2/20 2:30,-4.56
1/2/20 2:40,-4.78
1/2/20 2:50,-4.85
1/2/20 3:00,-4.86
1/2/20 3:10,-4.88
1/2/20 3:20,-4.91
1/2/20 3:30,-4.81
1/2/20 3:40,-5.03
1/2/20 3:50,-5.12
1/2/20 4:00,-4.72
1/2/20 4:10,-4.45
1/2/20 4:20,-4.54
1/2/20 4:30,-5.02
1/2/20 4:40,-5.39
1/2/20 4:50,-5.48
1/2/20 5:00,-5.43
1/2/20 5:10,-4.96
1/2/20 5:20,-4.87
1/2/20 5:30,-5.22
1/2/20 5:40,-5.43
1/2/20 5:50,-5.53
1/2/20 6:00,-5.45
1/2/20 6:10,-5.58
1/2/20 6:20,-5.78
1/2/20 6:30,-5.69
1/2/20 6:40,-5.44
1/2/20 6:50,-5.46
1/2/20 7:00,-5.47
1/2/20 7:10,-5.05
1/2/20 7:20,-4.94
1/2/20 7:30,-4.8
1/2/20 7:40,-4.91
1/2/20 7:50,-5.12
1/2/20 8:00,-5.13
1/2/20 8:10,-5.58
1/2/20 8:20,-5.66
1/2/20 8:30,-5.44
1/2/20 8:40,-4.73
1/2/20 8:50,-4.44
1/2/20 9:00,-4.39
1/2/20 9:10,-4.71
1/2/20 9:20,-4.68
1/2/20 9:30,-4.13
1/2/20 9:40,-4.07
1/2/20 9:50,-4.04
1/2/20 10:00,-4.16
1/2/20 10:10,-3.81
1/2/20 10:20,-3.53
1/2/20 10:30,-3.02
1/2/20 10:40,-2.78
1/2/20 10:50,-1.87
1/2/20 11:00,-1.24
1/2/20 11:10,-0.91
1/2/20 11:20,-0.56
1/2/20 11:30,-0.59
1/2/20 11:40,-0.19
1/2/20 11:50,0.48
1/2/20 12:00,1.06
1/2/20 12:10,1.8
1/2/20 12:20,1.92
1/2/20 12:30,2.72
1/2/20 12:40,3.47
1/2/20 12:50,4.37
1/2/20 13:00,4.98
1/2/20 13:10,5.58
1/2/20 13:20,5.73
1/2/20 13:30,6.06
1/2/20 13:40,6.47
1/2/20 13:50,6.47
1/2/20 14:00,6.22
1/2/20 14:10,5.88
1/2/20 14:20,5.71
1/2/20 14:30,5.91
1/2/20 14:40,5.7
1/2/20 14:50,5.41
1/2/20 15:00,5.66
1/2/20 15:10,5.77
1/2/20 15:20,5.61
1/2/20 15:30,5.47
1/2/20 15:40,5.49
1/2/20 15:50,4.96
1/2/20 16:00,4.28
1/2/20 16:10,3.69
1/2/20 16:20,3.36
1/2/20 16:30,3.25
1/2/20 16:40,3.18
1/2/20 16:50,3.06
1/2/20 17:00,2.88
1/2/20 17:10,2.61
1/2/20 17:20,2.32
1/2/20 17:30,1.91
1/2/20 17:40,1.42
1/2/20 17:50,1.41
1/2/20 18:00,1.41
1/2/20 18:10,1.12
1/2/20 18:20,1.16
1/2/20 18:30,0.91
1/2/20 18:40,0.62
1/2/20 18:50,0.15
1/2/20 19:00,-0.08
1/2/20 19:10,-0.22
1/2/20 19:20,-0.25
1/2/20 19:30,-0.47
1/2/20 19:40,-0.46
1/2/20 19:50,-0.71
1/2/20 20:00,-0.29
1/2/20 20:10,-0.36
1/2/20 20:20,-0.52
1/2/20 20:30,-0.56
1/2/20 20:40,-0.53
1/2/20 20:50,-0.59
1/2/20 21:00,-0.49
1/2/20 21:10,-0.42
1/2/20 21:20,-0.19
1/2/20 21:30,-0.07
1/2/20 21:40,-0.01
1/2/20 21:50,0.06
1/2/20 22:00,0.09
1/2/20 22:10,0.33
1/2/20 22:20,0.47
1/2/20 22:30,0.35
1/2/20 22:40,0.22
1/2/20 22:50,0.26
1/2/20 23:00,0.25
1/2/20 23:10,0.46
1/2/20 23:20,0.74
1/2/20 23:30,0.79
1/2/20 23:40,0.72
1/2/20 23:50,0.75
1/3/20 0:00,0.88
1/3/20 0:10,0.93
1/3/20 0:20,0.88
1/3/20 0:30,0.69
1/3/20 0:40,0.74
1/3/20 0:50,0.92
1/3/20 1:00,1.42
1/3/20 1:10,1.67
1/3/20 1:20,1.9
1/3/20 1:30,1.99
1/3/20 1:40,2.01
1/3/20 1:50,2.08
1/3/20 2:00,1.96
1/3/20 2:10,1.78
1/3/20 2:20,1.63
1/3/20 2:30,1.54
1/3/20 2:40,1.57
1/3/20 2:50,1.74
1/3/20 3:00,1.92
1/3/20 3:10,2.38
1/3/20 3:20,2.65
1/3/20 3:30,2.95
1/3/20 3:40,3.07
1/3/20 3:50,3.25
1/3/20 4:00,3.05
1/3/20 4:10,2.87
1/3/20 4:20,2.84
1/3/20 4:30,2.9
1/3/20 4:40,2.95
1/3/20 4:50,3.14
1/3/20 5:00,3.26
1/3/20 5:10,3.27
1/3/20 5:20,3.27
1/3/20 5:30,3.11
1/3/20 5:40,2.5
1/3/20 5:50,2.32
1/3/20 6:00,2.33
1/3/20 6:10,2.44
1/3/20 6:20,2.57
1/3/20 6:30,2.62
1/3/20 6:40,2.67
1/3/20 6:50,2.65
1/3/20 7:00,2.62
1/3/20 7:10,2.66
1/3/20 7:20,2.71
1/3/20 7:30,2.8
1/3/20 7:40,2.88
1/3/20 7:50,3.09
1/3/20 8:00,3.37
1/3/20 8:10,3.79
1/3/20 8:20,3.92
1/3/20 8:30,3.93
1/3/20 8:40,3.61
1/3/20 8:50,3.38
1/3/20 9:00,3.3
1/3/20 9:10,3.47
1/3/20 9:20,3.39
1/3/20 9:30,3.27
1/3/20 9:40,3.27
1/3/20 9:50,3.29
1/3/20 10:00,3.32
1/3/20 10:10,3.41
1/3/20 10:20,3.5
1/3/20 10:30,3.57
1/3/20 10:40,3.7
1/3/20 10:50,3.91
1/3/20 11:00,4
1/3/20 11:10,4.1
1/3/20 11:20,4.16
1/3/20 11:30,4.2
1/3/20 11:40,4.3
1/3/20 11:50,4.47
1/3/20 12:00,4.74
1/3/20 12:10,4.94
1/3/20 12:20,5
1/3/20 12:30,5.2
1/3/20 12:40,5.88
1/3/20 12:50,6.81
1/3/20 13:00,6.98
1/3/20 13:10,7
1/3/20 13:20,6.99
1/3/20 13:30,6.93
1/3/20 13:40,6.84
1/3/20 13:50,6.71
1/3/20 14:00,6.67
1/3/20 14:10,6.59
1/3/20 14:20,6.54
1/3/20 14:30,6.54
1/3/20 14:40,6.47
1/3/20 14:50,6.41
1/3/20 15:00,6.45
1/3/20 15:10,6.41
1/3/20 15:20,6.46
1/3/20 15:30,6.54
1/3/20 15:40,6.56
1/3/20 15:50,6.62
1/3/20 16:00,6.65
1/3/20 16:10,6.59
1/3/20 16:20,6.54
1/3/20 16:30,6.49
1/3/20 16:40,6.47
1/3/20 16:50,6.59
1/3/20 17:00,6.62
1/3/20 17:10,6.61
1/3/20 17:20,6.55
1/3/20 17:30,6.48
1/3/20 17:40,6.47
1/3/20 17:50,6.49
1/3/20 18:00,6.54
1/3/20 18:10,6.55
1/3/20 18:20,6.48
1/3/20 18:30,6.47
1/3/20 18:40,6.55
1/3/20 18:50,6.67
1/3/20 19:00,6.79
1/3/20 19:10,6.89
1/3/20 19:20,6.98
1/3/20 19:30,6.99
1/3/20 19:40,7.13
1/3/20 19:50,7.2
1/3/20 20:00,7.33
1/3/20 20:10,7.5
1/3/20 20:20,7.59
1/3/20 20:30,7.61
1/3/20 20:40,7.66
1/3/20 20:50,7.69
1/3/20 21:00,7.82
1/3/20 21:10,7.81
1/3/20 21:20,7.82
1/3/20 21:30,7.89
1/3/20 21:40,7.88
1/3/20 21:50,7.9
1/3/20 22:00,7.97
1/3/20 22:10,7.95
1/3/20 22:20,7.72
1/3/20 22:30,7.54
1/3/20 22:40,7.53
1/3/20 22:50,7.64
1/3/20 23:00,7.83
1/3/20 23:10,8.01
1/3/20 23:20,8.17
1/3/20 23:30,7.92
1/3/20 23:40,7.62
1/3/20 23:50,7.11
1/4/20 0:00,6.61
1/4/20 0:10,6.25
1/4/20 0:20,5.85
1/4/20 0:30,5.58
1/4/20 0:40,5.44
1/4/20 0:50,5.33
1/4/20 1:00,5.23
1/4/20 1:10,5.19
1/4/20 1:20,5.08
1/4/20 1:30,4.94
1/4/20 1:40,4.87
1/4/20 1:50,4.87
1/4/20 2:00,4.87
1/4/20 2:10,4.88
1/4/20 2:20,4.78
1/4/20 2:30,4.64
1/4/20 2:40,4.42
1/4/20 2:50,4.22
1/4/20 3:00,4.13
1/4/20 3:10,4.03
1/4/20 3:20,3.89
1/4/20 3:30,3.76
1/4/20 3:40,3.67
1/4/20 3:50,3.72
1/4/20 4:00,3.76
1/4/20 4:10,3.81
1/4/20 4:20,3.8
1/4/20 4:30,3.83
1/4/20 4:40,3.8
1/4/20 4:50,3.74
1/4/20 5:00,3.69
1/4/20 5:10,3.67
1/4/20 5:20,3.67
1/4/20 5:30,3.67
1/4/20 5:40,3.67
1/4/20 5:50,3.67
1/4/20 6:00,3.64
1/4/20 6:10,3.58
1/4/20 6:20,3.49
1/4/20 6:30,3.41
1/4/20 6:40,3.4
1/4/20 6:50,3.38
1/4/20 7:00,3.31
1/4/20 7:10,3.28
1/4/20 7:20,3.28
1/4/20 7:30,3.21
1/4/20 7:40,3.25
1/4/20 7:50,3.24
1/4/20 8:00,3.27
1/4/20 8:10,3.33
1/4/20 8:20,3.34
1/4/20 8:30,3.35
1/4/20 8:40,3.36
1/4/20 8:50,3.32
1/4/20 9:00,3.27
1/4/20 9:10,3.27
1/4/20 9:20,3.33
1/4/20 9:30,3.37
1/4/20 9:40,3.4
1/4/20 9:50,3.49
1/4/20 10:00,3.6
1/4/20 10:10,3.73
1/4/20 10:20,3.87
1/4/20 10:30,3.94
1/4/20 10:40,4.01
1/4/20 10:50,3.92
1/4/20 11:00,3.87
1/4/20 11:10,3.88
1/4/20 11:20,3.87
1/4/20 11:30,3.93
1/4/20 11:40,4.03
1/4/20 11:50,4.15
1/4/20 12:00,4.23
1/4/20 12:10,4.3
1/4/20 12:20,4.44
1/4/20 12:30,4.54
1/4/20 12:40,4.63
1/4/20 12:50,4.68
1/4/20 13:00,4.77
1/4/20 13:10,4.87
1/4/20 13:20,4.99
1/4/20 13:30,5.12
1/4/20 13:40,5.21
1/4/20 13:50,5.23
1/4/20 14:00,5.31
1/4/20 14:10,5.34
1/4/20 14:20,5.4
1/4/20 14:30,5.31
1/4/20 14:40,5.07
1/4/20 14:50,4.8
1/4/20 15:00,4.55
1/4/20 15:10,4.36
1/4/20 15:20,4.3
1/4/20 15:30,4.37
1/4/20 15:40,4.44
1/4/20 15:50,4.53
1/4/20 16:00,4.6
1/4/20 16:10,4.7
1/4/20 16:20,4.83
1/4/20 16:30,4.97
1/4/20 16:40,4.87
1/4/20 16:50,4.92
1/4/20 17:00,4.94
1/4/20 17:10,4.94
1/4/20 17:20,5
1/4/20 17:30,5.11
1/4/20 17:40,5.26
1/4/20 17:50,5.34
1/4/20 18:00,5.21
1/4/20 18:10,5.03
1/4/20 18:20,4.5
1/4/20 18:30,3.35
1/4/20 18:40,2.55
1/4/20 18:50,2.08
1/4/20 19:00,1.93
1/4/20 19:10,1.93
1/4/20 19:20,1.84
1/4/20 19:30,1.68
1/4/20 19:40,1.73
1/4/20 19:50,1.97
1/4/20 20:00,2.07
1/4/20 20:10,2.03
1/4/20 20:20,2.01
1/4/20 20:30,2.08
1/4/20 20:40,2.2
1/4/20 20:50,2.26
1/4/20 21:00,2.21
1/4/20 21:10,2.22
1/4/20 21:20,2.24
1/4/20 21:30,2.21
1/4/20 21:40,2.22
1/4/20 21:50,2.27
1/4/20 22:00,2.22
1/4/20 22:10,2.16
1/4/20 22:20,2.1
1/4/20 22:30,1.99
1/4/20 22:40,1.9
1/4/20 22:50,1.94
1/4/20 23:00,1.91
1/4/20 23:10,1.86
1/4/20 23:20,1.81
1/4/20 23:30,1.65
1/4/20 23:40,1.53
1/4/20 23:50,1.47
1/5/20 0:00,1.47
1/5/20 0:10,1.47
1/5/20 0:20,1.49
1/5/20 0:30,1.59
1/5/20 0:40,1.81
1/5/20 0:50,1.96
1/5/20 1:00,2.05
1/5/20 1:10,2.1
1/5/20 1:20,2.03
1/5/20 1:30,2.01
1/5/20 1:40,2.01
1/5/20 1:50,2.01
1/5/20 2:00,2.07
1/5/20 2:10,1.99
1/5/20 2:20,1.95
1/5/20 2:30,2.02
1/5/20 2:40,2.13
1/5/20 2:50,2.16
1/5/20 3:00,2.14
1/5/20 3:10,2.14
1/5/20 3:20,2.14
1/5/20 3:30,2.14
1/5/20 3:40,2.17
1/5/20 3:50,2.15
1/5/20 4:00,2.17
1/5/20 4:10,2.2
1/5/20 4:20,2.16
1/5/20 4:30,2.1
1/5/20 4:40,2.08
1/5/20 4:50,2.07
1/5/20 5:00,2.02
1/5/20 5:10,2.05
1/5/20 5:20,2.07
1/5/20 5:30,2.09
1/5/20 5:40,2.06
1/5/20 5:50,2.02
1/5/20 6:00,2.1
1/5/20 6:10,2.15
1/5/20 6:20,2.18
1/5/20 6:30,2.17
1/5/20 6:40,2.15
1/5/20 6:50,2.19
1/5/20 7:00,2.28
1/5/20 7:10,2.27
1/5/20 7:20,2.26
1/5/20 7:30,2.29
1/5/20 7:40,2.31
1/5/20 7:50,2.28
1/5/20 8:00,2.33
1/5/20 8:10,2.29
1/5/20 8:20,2.25
1/5/20 8:30,2.29
1/5/20 8:40,2.32
1/5/20 8:50,2.27
1/5/20 9:00,2.25
1/5/20 9:10,2.32
1/5/20 9:20,2.35
1/5/20 9:30,2.43
1/5/20 9:40,2.41
1/5/20 9:50,2.31
1/5/20 10:00,1.93
1/5/20 10:10,1.79
1/5/20 10:20,1.9
1/5/20 10:30,2.01
1/5/20 10:40,2.1
1/5/20 10:50,2.24
1/5/20 11:00,2.38
1/5/20 11:10,2.55
1/5/20 11:20,2.75
1/5/20 11:30,2.86
1/5/20 11:40,3.01
1/5/20 11:50,3.13
1/5/20 12:00,3.12
1/5/20 12:10,3.16
1/5/20 12:20,3.31
1/5/20 12:30,3.5
1/5/20 12:40,3.39
1/5/20 12:50,3.39
1/5/20 13:00,3.47
1/5/20 13:10,3.45
1/5/20 13:20,3.47
1/5/20 13:30,3.53
1/5/20 13:40,3.61
1/5/20 13:50,3.81
1/5/20 14:00,4.07
1/5/20 14:10,4.17
1/5/20 14:20,4.37
1/5/20 14:30,4.29
1/5/20 14:40,4.28
1/5/20 14:50,4.43
1/5/20 15:00,4.29
1/5/20 15:10,4.06
1/5/20 15:20,3.84
1/5/20 15:30,3.67
1/5/20 15:40,3.58
1/5/20 15:50,3.51
1/5/20 16:00,3.47
1/5/20 16:10,3.47
1/5/20 16:20,3.42
1/5/20 16:30,3.4
1/5/20 16:40,3.37
1/5/20 16:50,3.35
1/5/20 17:00,3.41
1/5/20 17:10,3.36
1/5/20 17:20,3.25
1/5/20 17:30,3.1
1/5/20 17:40,3.04
1/5/20 17:50,3.07
1/5/20 18:00,3.1
1/5/20 18:10,3.14
1/5/20 18:20,3.18
1/5/20 18:30,3.04
1/5/20 18:40,2.94
1/5/20 18:50,2.96
1/5/20 19:00,2.88
1/5/20 19:10,2.87
1/5/20 19:20,2.93
1/5/20 19:30,2.97
1/5/20 19:40,3.05
1/5/20 19:50,3.07
1/5/20 20:00,3.03
1/5/20 20:10,2.95
1/5/20 20:20,3.09
1/5/20 20:30,3.02
1/5/20 20:40,2.98
1/5/20 20:50,2.94
1/5/20 21:00,3
1/5/20 21:10,3
1/5/20 21:20,3
1/5/20 21:30,3
1/5/20 21:40,2.95
1/5/20 21:50,2.93
1/5/20 22:00,2.87
1/5/20 22:10,2.88
1/5/20 22:20,2.92
1/5/20 22:30,2.98
1/5/20 22:40,3.05
1/5/20 22:50,3.07
1/5/20 23:00,3.14
1/5/20 23:10,3.15
1/5/20 23:20,3.13
1/5/20 23:30,3.21
1/5/20 23:40,3.27
1/5/20 23:50,3.28
1/6/20 0:00,3.32
1/6/20 0:10,3.31
1/6/20 0:20,3.33
1/6/20 0:30,3.35
1/6/20 0:40,3.33
1/6/20 0:50,3.34
1/6/20 1:00,3.38
1/6/20 1:10,3.34
1/6/20 1:20,3.33
1/6/20 1:30,3.39
1/6/20 1:40,3.31
1/6/20 1:50,3.31
1/6/20 2:00,3.33
1/6/20 2:10,3.34
1/6/20 2:20,3.37
1/6/20 2:30,3.4
1/6/20 2:40,3.4
1/6/20 2:50,3.36
1/6/20 3:00,3.34
1/6/20 3:10,3.39
1/6/20 3:20,3.4
1/6/20 3:30,3.38
1/6/20 3:40,3.18
1/6/20 3:50,3.09
1/6/20 4:00,3
1/6/20 4:10,3.01
1/6/20 4:20,2.96
1/6/20 4:30,2.98
1/6/20 4:40,2.99
1/6/20 4:50,3.07
1/6/20 5:00,3.03
1/6/20 5:10,2.98
1/6/20 5:20,2.94
1/6/20 5:30,2.97
1/6/20 5:40,2.91
1/6/20 5:50,2.87
1/6/20 6:00,2.87
1/6/20 6:10,2.9
1/6/20 6:20,2.97
1/6/20 6:30,3.03
1/6/20 6:40,3.02
1/6/20 6:50,3
1/6/20 7:00,3.12
1/6/20 7:10,3.31
1/6/20 7:20,3.52
1/6/20 7:30,3.6
1/6/20 7:40,3.53
1/6/20 7:50,3.37
1/6/20 8:00,3.25
1/6/20 8:10,3.21
1/6/20 8:20,3.21
1/6/20 8:30,3.22
1/6/20 8:40,3.4
1/6/20 8:50,3.23
1/6/20 9:00,3.13
1/6/20 9:10,3.11
1/6/20 9:20,3.17
1/6/20 9:30,3.3
1/6/20 9:40,3.35
1/6/20 9:50,3.31
1/6/20 10:00,3.35
1/6/20 10:10,3.26
1/6/20 10:20,3.1
1/6/20 10:30,3.1
1/6/20 10:40,3.09
1/6/20 10:50,3.11
1/6/20 11:00,3.28
1/6/20 11:10,3.53
1/6/20 11:20,3.73
1/6/20 11:30,3.85
1/6/20 11:40,3.96
1/6/20 11:50,4.01
1/6/20 12:00,4.16
1/6/20 12:10,4.25
1/6/20 12:20,4.29
1/6/20 12:30,4.32
1/6/20 12:40,4.33
1/6/20 12:50,4.36
1/6/20 13:00,4.42
1/6/20 13:10,4.45
1/6/20 13:20,4.47
1/6/20 13:30,4.45
1/6/20 13:40,4.45
1/6/20 13:50,4.47
1/6/20 14:00,4.46
1/6/20 14:10,4.48
1/6/20 14:20,4.6
1/6/20 14:30,4.97
1/6/20 14:40,5.23
1/6/20 14:50,5.18
1/6/20 15:00,5.05
1/6/20 15:10,4.91
1/6/20 15:20,4.77
1/6/20 15:30,4.81
1/6/20 15:40,4.85
1/6/20 15:50,4.65
1/6/20 16:00,4.3
1/6/20 16:10,3.96
1/6/20 16:20,3.82
1/6/20 16:30,3.66
1/6/20 16:40,3.49
1/6/20 16:50,3.38
1/6/20 17:00,3.3
1/6/20 17:10,3.15
1/6/20 17:20,2.97
1/6/20 17:30,2.82
1/6/20 17:40,2.54
1/6/20 17:50,2.32
1/6/20 18:00,2.15
1/6/20 18:10,2.03
1/6/20 18:20,1.89
1/6/20 18:30,1.77
1/6/20 18:40,1.68
1/6/20 18:50,1.57
1/6/20 19:00,1.38
1/6/20 19:10,1.22
1/6/20 19:20,1
1/6/20 19:30,0.86
1/6/20 19:40,0.52
1/6/20 19:50,0.24
1/6/20 20:00,-0.03
1/6/20 20:10,0.03
1/6/20 20:20,0.17
1/6/20 20:30,0.06
1/6/20 20:40,-0.25
1/6/20 20:50,-0.42
1/6/20 21:00,-0.55
1/6/20 21:10,-0.66
1/6/20 21:20,-0.71
1/6/20 21:30,-0.88
1/6/20 21:40,-1.18
1/6/20 21:50,-1.29
1/6/20 22:00,-1.27
1/6/20 22:10,-1.37
1/6/20 22:20,-1.37
1/6/20 22:30,-1.35
1/6/20 22:40,-1.38
1/6/20 22:50,-1.34
1/6/20 23:00,-1.3
1/6/20 23:10,-1.11
1/6/20 23:20,-1.16
1/6/20 23:30,-1.04
1/6/20 23:40,-0.77
1/6/20 23:50,-0.71
1/7/20 0:00,-0.8
1/7/20 0:10,-0.71
1/7/20 0:20,-0.43
1/7/20 0:30,-0.31
1/7/20 0:40,-0.39
1/7/20 0:50,-0.48
1/7/20 1:00,-0.55
1/7/20 1:10,-0.28
1/7/20 1:20,0.21
1/7/20 1:30,0.16
1/7/20 1:40,0.08
1/7/20 1:50,-0.02
1/7/20 2:00,-0.01
1/7/20 2:10,0
1/7/20 2:20,-0.06
1/7/20 2:30,-0.03
1/7/20 2:40,-0.11
1/7/20 2:50,-0.16
1/7/20 3:00,-0.08
1/7/20 3:10,0.16
1/7/20 3:20,0.22
1/7/20 3:30,0.25
1/7/20 3:40,0.48
1/7/20 3:50,0.56
1/7/20 4:00,0.63
1/7/20 4:10,0.7
1/7/20 4:20,0.75
1/7/20 4:30,0.77
1/7/20 4:40,0.91
1/7/20 4:50,0.94
1/7/20 5:00,0.74
1/7/20 5:10,0.39
1/7/20 5:20,0.32
1/7/20 5:30,0.29
1/7/20 5:40,0.35
1/7/20 5:50,0.53
1/7/20 6:00,0.72
1/7/20 6:10,0.95
1/7/20 6:20,0.61
1/7/20 6:30,0.47
1/7/20 6:40,0.9
1/7/20 6:50,0.84
1/7/20 7:00,0.7
1/7/20 7:10,0.66
1/7/20 7:20,0.9
1/7/20 7:30,1.02
1/7/20 7:40,0.98
1/7/20 7:50,1.15
1/7/20 8:00,1.47
1/7/20 8:10,1.33
1/7/20 8:20,1.56
1/7/20 8:30,1.65
1/7/20 8:40,1.43
1/7/20 8:50,1.46
1/7/20 9:00,1.47
1/7/20 9:10,1.41
1/7/20 9:20,1.5
1/7/20 9:30,1.71
1/7/20 9:40,1.77
1/7/20 9:50,1.62
1/7/20 10:00,1.56
1/7/20 10:10,1.82
1/7/20 10:20,1.96
1/7/20 10:30,1.83
1/7/20 10:40,1.76
1/7/20 10:50,2.05
1/7/20 11:00,2.28
1/7/20 11:10,2.64
1/7/20 11:20,2.85
1/7/20 11:30,3.08
1/7/20 11:40,3.27
1/7/20 11:50,3.31
1/7/20 12:00,3.37
1/7/20 12:10,3.44
1/7/20 12:20,3.51
1/7/20 12:30,3.62
1/7/20 12:40,3.77
1/7/20 12:50,3.85
1/7/20 13:00,4.05
1/7/20 13:10,4.54
1/7/20 13:20,5.04
1/7/20 13:30,5.52
1/7/20 13:40,5.72
1/7/20 13:50,5.21
1/7/20 14:00,4.96
1/7/20 14:10,4.94
1/7/20 14:20,4.98
1/7/20 14:30,5.01
1/7/20 14:40,5.07
1/7/20 14:50,5.07
1/7/20 15:00,5.09
1/7/20 15:10,5.11
1/7/20 15:20,5.06
1/7/20 15:30,5.05
1/7/20 15:40,5.1
1/7/20 15:50,5.14
1/7/20 16:00,5.14
1/7/20 16:10,5.1
1/7/20 16:20,5.04
1/7/20 16:30,4.97
1/7/20 16:40,4.94
1/7/20 16:50,4.85
1/7/20 17:00,4.77
1/7/20 17:10,4.74
1/7/20 17:20,4.8
1/7/20 17:30,4.94
1/7/20 17:40,4.94
1/7/20 17:50,4.94
1/7/20 18:00,4.98
1/7/20 18:10,4.97
1/7/20 18:20,4.82
1/7/20 18:30,4.76
1/7/20 18:40,4.8
1/7/20 18:50,4.76
1/7/20 19:00,4.69
1/7/20 19:10,4.56
1/7/20 19:20,4.54
1/7/20 19:30,4.53
1/7/20 19:40,4.48
1/7/20 19:50,4.41
1/7/20 20:00,4.39
1/7/20 20:10,4.26
